address,date,type,lat,long
4331  BARHAM,8/28/15,Dismantle,42.3940078,-82.94758700000001
9707  BESSEMORE,8/28/15,Dismantle,42.3953029,-83.0050673
5315  BERKSHIRE,8/28/15,Dismantle,42.4036785,-82.94697640000003
16670  BRINGARD DR,8/28/15,Dismantle,42.446371,-82.94719599999998
1454  BEATRICE,8/28/15,Dismantle,42.27702559999999,-83.14775060000002
5035  BALFOUR,8/28/15,Dismantle,42.4003,-82.947313
5297  BALFOUR,8/28/15,Dismantle,42.402726,-82.948931
5315  BALFOUR,8/28/15,Dismantle,42.40295689999999,-82.9490845
5280  BALFOUR,8/28/15,Dismantle,42.402777,-82.94811399999998
427  ASHLAND,8/28/15,Dismantle,42.366975599999996,-82.9354714
5576  ALTER,8/28/15,Dismantle,42.40139600000001,-82.95705600000002
3109  BASSETT,8/28/15,Dismantle,42.26251110000001,-83.1550381
471  ASHLAND,8/28/15,Dismantle,42.3678891,-82.93601770000002
5807  BERKSHIRE,8/28/15,Dismantle,42.406975700000004,-82.9491685
478  ALGONQUIN,8/28/15,Dismantle,42.3624179,-82.9515211
3716  BENSON,8/28/15,Dismantle,42.358026,-83.02006800000002
1334  ANNABELLE,8/28/15,Dismantle,42.27822379999999,-83.1479181
15860 W GRAND RIVER,8/27/15,Dismantle,42.3944583,-83.202425
13934 E WARREN,8/27/15,Dismantle,42.33142700000001,-83.0457538
4503  MICHIGAN,8/27/15,Dismantle,42.3309516,-83.10590490000001
14436 E WARREN,8/27/15,Dismantle,42.33142700000001,-83.0457538
11793  GLENFIELD,8/27/15,Dismantle,42.4103157,-82.9945461
15703 W GRAND RIVER,8/27/15,Dismantle,42.5808506,-83.43972600000002
14725  KERCHEVAL,8/27/15,Dismantle,42.380171000000004,-82.944575
8846  WHITCOMB,8/25/15,Dismantle,42.358979999999995,-83.194475
14944  JOY,8/24/15,Dismantle,42.358506,-83.19131999999998
14015  GREENVIEW,8/24/15,Dismantle,42.388233,-83.22388199999997
13982  HOUSTON-WHITTIER,8/24/15,Dismantle,42.420268,-82.980485
14511  PREST,8/24/15,Dismantle,42.3945474,-83.1975324
9138  ROSA PARKS BLVD,8/24/15,Dismantle,42.37690170000001,-83.09970990000002
8340  LYNDON,8/24/15,Dismantle,42.395525899999996,-83.152778
8256  GREENVIEW,8/21/15,Dismantle,42.3531893,-83.2220952
5330  COOPER,8/21/15,Dismantle,42.384407,-83.000547
12292  LANSDOWNE,8/21/15,Dismantle,42.4293695,-82.9485383
19346  TEPPERT,8/21/15,Dismantle,42.43712499999999,-83.0077063
19188  HEALY,8/21/15,Dismantle,42.43461620000001,-83.05562330000002
1626  HURLBUT,8/21/15,Dismantle,42.364776899999995,-82.982608
7350  ROLAND,8/21/15,Dismantle,42.396605,-83.025222
4703  DICKERSON,8/21/15,Dismantle,42.390418200000006,-82.9658869
20230  REVERE,8/21/15,Dismantle,42.444537800000006,-83.06866649999998
19370  MONTROSE,8/21/15,Dismantle,42.433687299999995,-83.20188490000002
208  NEWPORT,8/21/15,Dismantle,42.360100700000004,-82.93874890000002
20244  REVERE,8/21/15,Dismantle,42.44476450000001,-83.0686245
20265  REVERE,8/21/15,Dismantle,42.444961799999994,-83.0692011
19373  SHIELDS,8/21/15,Dismantle,42.4368446,-83.06023689999998
3661  HAVERHILL,8/21/15,Dismantle,42.392161,-82.937161
462  MARLBOROUGH,8/21/15,Dismantle,42.3666779,-82.9387069
20400  WARD,8/21/15,Dismantle,42.4431091,-83.175263
20175  REVERE,8/21/15,Dismantle,42.443731,-83.06901839999998
6411  ASHTON,8/21/15,Dismantle,42.3377398,-83.2172001
17251  MITCHELL,8/21/15,Dismantle,42.42075429999999,-83.07218890000001
18111  SUNSET,8/21/15,Dismantle,42.427638200000004,-83.060908
19130  LINDSAY,8/21/15,Dismantle,42.4306825,-83.21372729999999
2595  MONTCLAIR,8/21/15,Dismantle,42.3707243,-82.9802495
19356  SHIELDS,8/21/15,Dismantle,42.436582,-83.05959200000002
17214  JUSTINE,8/21/15,Dismantle,42.420452000000004,-83.057827
5151  BELVIDERE,8/21/15,Dismantle,42.382243700000004,-83.002905
6874  BRIMSON,8/21/15,Dismantle,42.421632,-83.030153
8456  FIELDING,8/21/15,Dismantle,42.35477210000001,-83.24045900000002
19201  LUMPKIN,8/21/15,Dismantle,42.4343463,-83.0808266
9365  APPOLINE,8/21/15,Dismantle,42.364791,-83.1693595
9133  MANSFIELD,8/21/15,Dismantle,42.361086,-83.203653
12011  ELMDALE,8/21/15,Dismantle,42.40385670000001,-82.9872303
13558  PENROD,8/21/15,Dismantle,42.3852096,-83.2206728
8842  COYLE,8/21/15,Dismantle,42.3589365,-83.19250989999998
8533  TERRY,8/21/15,Dismantle,42.356420899999996,-83.19075190000002
8849  TERRY,8/21/15,Dismantle,42.3590641,-83.1907938
14301  WESTBROOK,8/21/15,Dismantle,42.390915899999996,-83.2505798
1316  BELVIDERE,8/21/15,Dismantle,42.359811900000004,-82.98633799999998
16919  STRATHMOOR,8/21/15,Dismantle,42.416009100000004,-83.18870090000001
4776  BURNS,8/21/15,Dismantle,42.377292,-83.0056915
5096  IROQUOIS,8/21/15,Dismantle,42.3788919,-83.0093433
20288  BUFFALO,8/21/15,Dismantle,42.4456982,-83.0483613
19190  CLIFF,8/21/15,Dismantle,42.435287100000004,-83.02831239999998
19463  LINDSAY,8/21/15,Dismantle,42.43473510000001,-83.2143968
4448  SEMINOLE,8/21/15,Dismantle,42.37381170000001,-83.0069508
16624  WOODINGHAM,8/21/15,Dismantle,42.4140279,-83.1497191
20111  SUNSET,8/21/15,Dismantle,42.443862700000004,-83.06177819999998
19231  SHIELDS,8/21/15,Dismantle,42.4351201,-83.0601531
19783  GILCHRIST,8/21/15,Dismantle,42.4367393,-83.21339259999998
4654  ALGONQUIN,8/21/15,Dismantle,42.388842,-82.9682389
4391  THREE MILE DR,8/21/15,Dismantle,42.3647525,-83.02401529999999
20236  REVERE,8/21/15,Dismantle,42.444652399999995,-83.06866649999998
8921  LAUDER,8/21/15,Dismantle,42.3600352,-83.1897473
8588  PREST,8/21/15,Dismantle,42.35709,-83.195409
19145  SHIELDS,8/21/15,Dismantle,42.433930600000004,-83.0600692
19311  STOTTER,8/21/15,Dismantle,42.43622379999999,-83.02550090000003
10803  STRATMANN,8/21/15,Dismantle,42.4170226,-82.9577802
15408  WEST PARKWAY,8/21/15,Dismantle,42.33142700000001,-83.0457538
10418  WAYBURN,8/21/15,Dismantle,42.413568,-82.95828999999998
5919  BUCKINGHAM,8/21/15,Dismantle,42.4077422,-82.94858029999997
13982  VAUGHAN,8/21/15,Dismantle,42.3875167,-83.2376985
713  CONTINENTAL,8/21/15,Dismantle,42.366499299999994,-82.9525713
13803 E SEVEN MILE,8/21/15,Dismantle,42.33142700000001,-83.0457538
4440  MCGRAW,8/20/15,Dismantle,42.345999799999994,-83.1150305
8236  ROBSON,8/20/15,Dismantle,42.3541136,-83.19121229999998
9394  MARLOWE,8/20/15,Dismantle,42.3646551,-83.1882823
9015  PRAIRIE,8/20/15,Dismantle,42.361079,-83.14310119999998
14241  HOUSTON-WHITTIER,8/20/15,Dismantle,42.420887,-82.975899
19360  HICKORY,8/20/15,Dismantle,42.43783060000001,-82.9873877
18630  FAIRPORT,8/20/15,Dismantle,42.4316967,-82.99078859999999
18694  WESTPHALIA,8/20/15,Dismantle,42.4325354,-82.9920061
3233  CALVERT,8/20/15,Dismantle,42.3771782,-83.1187181
