,long,lat,crime_inc
0,-83.2975,42.3842,1
1,-83.2968,42.2954,1
2,-83.2966,42.3986,1
3,-83.2959,42.3993,1
4,-83.2931,42.2654,1
5,-83.2916,42.416,1
6,-83.2916,42.4402,1
7,-83.2914,42.4162,1
8,-83.2913,42.4308,1
9,-83.2899,42.2961,1
10,-83.2897,42.2963,1
11,-83.2896,42.2961,1
12,-83.2892,42.4308,1
13,-83.2882,42.4385,1
14,-83.2878,42.4424,1
15,-83.2878,42.4426,1
16,-83.2877,42.4349,1
17,-83.2875,42.4426,1
18,-83.2874,42.4349,1
19,-83.2873,42.4285,2
20,-83.2873,42.4286,1
21,-83.2872,42.4215,1
22,-83.2872,42.4251,1
23,-83.2872,42.4284,1
24,-83.2872,42.4285,1
25,-83.2872,42.4287,1
26,-83.2872,42.4352,1
27,-83.2871,42.4287,1
28,-83.2871,42.4344,1
29,-83.2871,42.435,1
30,-83.2871,42.4351,1
31,-83.2871,42.4366,1
32,-83.287,42.4189,1
33,-83.287,42.419,1
34,-83.287,42.4191,2
35,-83.287,42.4213,1
36,-83.2869,42.4283,1
37,-83.2869,42.4284,1
38,-83.2869,42.4349,1
39,-83.2869,42.4353,1
40,-83.2869,42.4356,1
41,-83.2868,42.4254,1
42,-83.2867,42.4189,1
43,-83.2867,42.4244,1
44,-83.2867,42.4271,1
45,-83.2867,42.4307,1
46,-83.2867,42.4332,1
47,-83.2867,42.4415,1
48,-83.2866,42.4119,1
49,-83.2866,42.4144,1
50,-83.2866,42.4302,1
51,-83.2866,42.4305,1
52,-83.2866,42.4322,1
53,-83.2866,42.4331,1
54,-83.2866,42.4343,1
55,-83.2866,42.4375,1
56,-83.2866,42.4376,1
57,-83.2866,42.4377,1
58,-83.2866,42.4418,1
59,-83.2866,42.4422,1
60,-83.2865,42.4203,1
61,-83.2865,42.4218,1
62,-83.2865,42.4222,1
63,-83.2865,42.4256,1
64,-83.2865,42.4305,1
65,-83.2865,42.4368,1
66,-83.2865,42.4369,1
67,-83.2865,42.4375,1
68,-83.2864,42.4203,1
69,-83.2864,42.4229,1
70,-83.2863,42.414,1
71,-83.2863,42.4162,1
72,-83.2863,42.4173,1
73,-83.2862,42.4161,1
74,-83.2862,42.4205,1
75,-83.2861,42.4103,1
76,-83.2861,42.4104,1
77,-83.2861,42.413,1
78,-83.2861,42.4135,1
79,-83.2861,42.414,1
80,-83.2861,42.4388,1
81,-83.2861,42.4423,1
82,-83.286,42.4091,1
83,-83.286,42.4109,1
84,-83.286,42.4138,1
85,-83.2859,42.3596,1
86,-83.2859,42.4101,1
87,-83.2859,42.4102,1
88,-83.2859,42.4103,1
89,-83.2859,42.4211,1
90,-83.2859,42.4221,1
91,-83.2859,42.4238,1
92,-83.2859,42.4347,1
93,-83.2859,42.4395,1
94,-83.2859,42.4415,1
95,-83.2859,42.4424,1
96,-83.2858,42.4097,1
97,-83.2858,42.4204,1
98,-83.2858,42.4253,1
99,-83.2858,42.4282,1
100,-83.2858,42.4284,1
101,-83.2858,42.4362,1
102,-83.2857,42.4151,1
103,-83.2857,42.4195,1
104,-83.2857,42.4206,1
105,-83.2857,42.4223,1
106,-83.2857,42.4238,1
107,-83.2857,42.4331,1
108,-83.2857,42.434,1
109,-83.2857,42.4341,1
110,-83.2856,42.4143,1
111,-83.2856,42.4151,1
112,-83.2856,42.4231,1
113,-83.2856,42.4281,1
114,-83.2856,42.4283,1
115,-83.2855,42.4111,1
116,-83.2855,42.4113,1
117,-83.2855,42.4115,1
118,-83.2855,42.4172,1
119,-83.2855,42.4222,2
120,-83.2855,42.4251,1
121,-83.2855,42.4337,1
122,-83.2855,42.4341,1
123,-83.2855,42.4342,1
124,-83.2855,42.4394,1
125,-83.2854,42.4091,1
126,-83.2854,42.4112,1
127,-83.2854,42.4114,1
128,-83.2854,42.4272,1
129,-83.2854,42.4277,1
130,-83.2854,42.4286,1
131,-83.2854,42.4298,1
132,-83.2854,42.4306,1
133,-83.2854,42.432,1
134,-83.2854,42.4329,1
135,-83.2854,42.4385,1
136,-83.2854,42.4403,1
137,-83.2853,42.4109,2
138,-83.2853,42.4145,1
139,-83.2853,42.427,1
140,-83.2852,42.4082,1
141,-83.2852,42.4112,1
142,-83.2852,42.4113,1
143,-83.2852,42.4142,1
144,-83.2852,42.4144,1
145,-83.2852,42.4242,1
146,-83.2852,42.4273,1
147,-83.2852,42.4299,1
148,-83.2852,42.4356,1
149,-83.2852,42.4369,1
150,-83.2851,42.4108,1
151,-83.2851,42.4111,1
152,-83.2851,42.4143,1
153,-83.2851,42.4285,1
154,-83.2851,42.4296,1
155,-83.2851,42.435,1
156,-83.2851,42.4376,1
157,-83.285,42.4143,1
158,-83.285,42.4329,1
159,-83.285,42.4403,1
160,-83.285,42.4408,1
161,-83.2849,42.4141,1
162,-83.2849,42.4142,1
163,-83.2849,42.4144,1
164,-83.2849,42.4164,1
165,-83.2849,42.4258,1
166,-83.2849,42.4355,1
167,-83.2848,42.3922,1
168,-83.2848,42.4366,1
169,-83.2848,42.4367,1
170,-83.2848,42.4421,1
171,-83.2848,42.4422,1
172,-83.2847,42.4128,1
173,-83.2847,42.414,1
174,-83.2847,42.4164,1
175,-83.2847,42.417,1
176,-83.2847,42.4367,1
177,-83.2847,42.4368,1
178,-83.2847,42.4385,1
179,-83.2847,42.4401,1
180,-83.2847,42.4422,1
