long,lat,demolition
-82.9780122993,42.4121118425,0
-82.9927635448,42.3779322874,1
-83.2860621466,42.4387108459,0
-83.132418253,42.4152673817,0
-83.1476672526,42.2906927361,1
-83.023604688,42.382146195,1
-83.1936768664,42.3629244941,0
-82.9878782522,42.434166025,1
-83.1625376353,42.3936746278,0
-83.1627983758,42.381662924,0
-83.1223258242,42.4084567726,1
-83.0703726648,42.4260541221,0
-83.1088723008,42.3823612788,0
-83.1179568825,42.3830710649,0
-83.2380427911,42.3768637218,1
-82.9766670171,42.4029986207,0
-83.1337778104,42.3592551707,1
-83.2133313941,42.3504299412,0
-83.2422438745,42.4194897011,0
-83.1043465767,42.3326688209,0
-83.0726395927,42.3930189997,0
-83.0225572823,42.3659370497,1
-82.9764497257,42.4330218368,1
-83.004499189,42.4390950893,1
-83.1752889387,42.4061785187,1
-83.2135375802,42.4128358615,1
-83.2720409544,42.4027294259,1
-83.0007011819,42.3844813396,1
-82.9862690459,42.4198001523,1
-82.9516597095,42.4315563943,0
-82.9241483283,42.4139020706,0
-82.9528316993,42.3937406027,1
-83.2323530623,42.3753685082,0
-83.0238907431,42.4063715194,0
-83.0913694761,42.4332877934,1
-83.1051826727,42.4215848237,0
-83.0574360917,42.3361518327,0
-83.0197117611,42.4320487413,0
-83.2302242829,42.3589604597,0
-82.9187958313,42.4184742158,0
-82.9852720413,42.3767599866,0
-83.0816753188,42.422550043,0
-82.9620608905,42.3909231959,0
-83.2453484824,42.3742310648,1
-83.1760598597,42.3625351351,0
-83.1134553362,42.3646762036,0
-82.9963021558,42.4145514235,1
-83.0472481919,42.4123764212,0
-82.9890802967,42.4338887005,1
-83.1480729523,42.28777216,1
-83.1718619744,42.4036431707,1
-83.0174021192,42.3777290304,1
-83.1253035216,42.2909249677,0
-83.0176830166,42.3656788388,1
-83.1021778241,42.3422131037,1
-83.0007510163,42.3845548634,1
-82.9303710346,42.3994015946,0
-82.9877185968,42.4483904668,0
-83.2868064748,42.4338302482,0
-83.283078744,42.4102853591,0
-83.1443983733,42.2840083438,1
-83.2343665524,42.434830235,0
-83.0800295119,42.4207135181,1
-83.2609640907,42.3873497035,0
-83.0770395164,42.4399384429,0
-83.1707463763,42.3517052437,0
-82.9536052276,42.3979182442,1
-83.1876097157,42.3891857994,0
-83.2634006048,42.3994163657,0
-83.1443735172,42.3550225003,1
-82.939242995,42.4059650476,0
-83.1070018615,42.4333769287,1
-82.9829131477,42.3973902435,1
-82.9613172667,42.4151150741,0
-82.9745528919,42.4333698565,1
-82.9366908001,42.4194361739,1
-83.0004849963,42.4439710519,1
-82.9849664489,42.3971955448,1
-83.0050117627,42.3941347912,1
-83.0055371058,42.4363276005,1
-82.9843661937,42.4173913885,0
-83.1421558685,42.4295903326,0
-83.2188611615,42.3833430365,0
-83.2019493047,42.371324814,1
-83.1975779027,42.4114901815,0
-83.0894163743,42.3905917214,0
-83.0367967393,42.3326618194,0
-83.1453501752,42.2886891323,1
-82.982597879,42.3812617298,1
-83.0600229416,42.4089702754,0
-83.2380133498,42.3566791533,1
-83.1081021411,42.3583876619,0
-82.9580058079,42.3836899616,0
-83.2198027976,42.3410713548,0
-82.9661290219,42.3958861288,1
-83.0841785837,42.3781916327,1
-83.1000498868,42.4282048597,0
-83.218626429,42.394592017,0
-83.2553612041,42.4029004105,1
-83.0486559538,42.3641883405,1
-83.0947782546,42.385958939,0
-83.0738453653,42.3824056553,0
-83.1391094332,42.3364068857,0
-83.1586669369,42.3600679634,0
-83.2507853639,42.394873561,1
-82.9705678824,42.4367878199,1
-83.2783573263,42.409305879,0
-83.0271231368,42.4067621848,0
-82.9435483928,42.3735802697,0
-83.1020648635,42.3001698974,0
-82.9508876693,42.3738933838,0
-83.0145608522,42.3441840691,1
-83.1173564733,42.3582658776,1
-83.0273968466,42.3628802254,0
-83.093792833,42.3248194231,0
-83.0317822276,42.3678217923,1
-83.0942624216,42.3696302538,0
-83.1822506536,42.4083007365,1
-83.1598709986,42.2617205452,0
-83.1191240545,42.3133002651,1
-83.2080354784,42.3717932139,1
-83.1038224984,42.4332169381,1
-83.199641771,42.4145300907,0
-82.9840055196,42.4140250307,1
-83.1445086469,42.2893270139,1
-82.9515680422,42.4324540338,0
-83.0957251395,42.3310755903,0
-83.1088318796,42.3644845271,0
-83.0789168635,42.3193911228,0
-83.1088963357,42.4294953824,1
-83.0067604504,42.3600881277,1
-83.1149607095,42.3080398898,1
-82.9793065344,42.4260066426,1
-82.9935554745,42.4225114172,1
-83.2251179779,42.3400216824,1
-83.1696670025,42.4012176321,0
-83.2391203178,42.3542545645,1
-83.0020105951,42.3800239212,1
-83.1535658721,42.3805702837,1
-83.1411195025,42.3316114128,0
-82.9726261022,42.4125110884,1
-83.039618662,42.3918584522,0
-83.1205186921,42.313933486,0
-82.9813508515,42.3629204901,1
-83.2418286921,42.3835034993,0
-82.9785901803,42.3761282709,1
-83.0232574742,42.3534789535,1
-83.284351597,42.4284116821,1
-83.0714943046,42.4083440609,0
-82.9528502693,42.3805873218,0
-83.0834427867,42.3942875139,0
-83.0225836929,42.4073629206,0
-83.1650673999,42.3662839079,0
-83.1359486644,42.3313517158,0
-83.2855647195,42.4423397054,1
-83.1156201799,42.3738523523,0
-83.1473900039,42.3523922766,1
-83.1733979336,42.3719599478,0
-83.0876502788,42.3165223101,0
-83.2333566214,42.3450036185,0
-82.9432215447,42.4106885618,0
-82.9699827289,42.4141631137,1
-83.1390183707,42.3439222647,1
-82.9592152778,42.4388899717,1
-82.9790118515,42.439973187,1
-83.2404181056,42.4283305746,1
-83.2344623417,42.3653682645,1
-83.203778734,42.369234887,0
